Partie,Composant,Statut,Livrable,Commentaire
1. Machine Learning,Dataset SMS Spam Collection,OK,dataset chargé,
1. Machine Learning,Nettoyage texte (NLTK),OK,Traitement.py,
1. Machine Learning,TF-IDF Vectorizer,OK,Traitement.py,
1. Machine Learning,Train/test split,OK,Traitement.py,
1. Machine Learning,Logistic Regression,OK,LG.py,
1. Machine Learning,Évaluation (Accuracy/Precision/Recall/F1/Matrice confusion),OK,graphiques,
2. MLflow,mlflow_tracking.py,OK,mlflow_tracking.py,
2. MLflow,Experience Spam_Detection,OK,historique des runs,
2. MLflow,Logging params/metrics/model,OK,comparaison des runs,
3. Docker,Dockerfile,OK,Dockerfile,
3. Docker,requirements.txt,OK,requirements.txt,
3. Docker,Build image,OK,image spam_detection,
3. Docker,Run image,OK,container fonctionnel,
4. CI/CD Jenkins,Jenkinsfile,OK,Jenkinsfile fonctionnel,
4. CI/CD Jenkins,Stage Checkout,OK,,
4. CI/CD Jenkins,Stage Install dependencies,OK,,
4. CI/CD Jenkins,Stage Train Model,OK,,
4. CI/CD Jenkins,Stage MLflow Tracking,OK,,
4. CI/CD Jenkins,Stage Docker Build,OK,,
5. Securite,Trivy scan,OK,rapport de scan,
6. Signature image,Cosign sign,OK,image signee,
6. Signature image,Cosign verify,OK,,
7. Docker Hub,docker push,OK,image disponible sur Docker Hub,judickael040/spam_detection
8. Deploiement Ansible,ansible/deploy.yml,OK,deploy.yml,
8. Deploiement Ansible,ansible/hosts.ini,OK,hosts.ini,
8. Deploiement Ansible,Variables de connexion (user/port SSH),OK,,
9. Demonstration finale,Pipeline complet bout en bout,OK,pipeline sans erreur,projet termine
